,id,product_id,name,price,quantity_stock,specification,discount,description,created_at,updated_at,category_name
0,1,1,Apple iPhone 14 256GB White/Phantom Black,1067.5,42,"{'ram': '16GB', 'color': ['White', 'Phantom Black'], 'storage': ['256GB']}",110.31,Apple iPhone 14 256GB White/Phantom Black with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,phone
1,4,1,Apple iPhone 14 128GB White/Black/Red,675.55,44,"{'ram': '4GB', 'color': ['White', 'Black', 'Red'], 'storage': ['128GB']}",17.02,Apple iPhone 14 128GB White/Black/Red with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,phone
2,5,1,Apple iPhone 14 64GB/256GB Gold,926.17,30,"{'ram': '16GB', 'color': ['Gold'], 'storage': ['64GB', '256GB']}",0.0,Apple iPhone 14 64GB/256GB Gold with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,phone
3,6,2,Samsung Samsung Galaxy S23 64GB Midnight/Gold,967.99,52,"{'ram': '32GB', 'color': ['Midnight', 'Gold'], 'storage': ['64GB']}",177.36,Samsung Samsung Galaxy S23 64GB Midnight/Gold with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,phone
4,7,2,Samsung Samsung Galaxy S23 64GB/256GB Black/White/Green,1046.81,81,"{'ram': '4GB', 'color': ['Black', 'White', 'Green'], 'storage': ['64GB', '256GB']}",142.44,Samsung Samsung Galaxy S23 64GB/256GB Black/White/Green with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,phone
5,8,2,Samsung Samsung Galaxy S23 64GB/512GB Green,956.78,43,"{'ram': '8GB', 'color': ['Green'], 'storage': ['64GB', '512GB']}",104.22,Samsung Samsung Galaxy S23 64GB/512GB Green with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,phone
6,9,2,Samsung Samsung Galaxy S23 64GB/256GB/512GB Gold/Blue/Space Gray,746.82,13,"{'ram': '32GB', 'color': ['Gold', 'Blue', 'Space Gray'], 'storage': ['64GB', '256GB', '512GB']}",0.0,Samsung Samsung Galaxy S23 64GB/256GB/512GB Gold/Blue/Space Gray with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,phone
7,10,2,Samsung Samsung Galaxy S23 64GB White,698.59,79,"{'ram': '4GB', 'color': ['White'], 'storage': ['64GB']}",36.41,Samsung Samsung Galaxy S23 64GB White with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,phone
8,11,2,Samsung Samsung Galaxy S23 64GB/512GB Silver/Space Gray,796.43,84,"{'ram': '8GB', 'color': ['Silver', 'Space Gray'], 'storage': ['64GB', '512GB']}",0.0,Samsung Samsung Galaxy S23 64GB/512GB Silver/Space Gray with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,phone
9,12,3,Google Google Pixel 7 128GB/256GB Black/Silver/Gold,632.44,61,"{'ram': '4GB', 'color': ['Black', 'Silver', 'Gold'], 'storage': ['128GB', '256GB']}",46.83,Google Google Pixel 7 128GB/256GB Black/Silver/Gold with premium features and high performance.,2025-03-20 23:14:54.493202,2025-03-20 23:14:54.493202,phone
